state,name,fips,age_over_18,age_over_65,age_over_85,age_under_5,asian,avg_family_size,bachelors,black,hispanic,household_has_broadband,household_has_computer,household_has_smartphone,households,households_speak_asian_or_pac_isl,households_speak_limited_english,households_speak_other,households_speak_other_indo_euro_lang,households_speak_spanish,housing_mobile_homes,housing_one_unit_structures,housing_two_unit_structures,hs_grad,mean_work_travel,median_age,median_household_income,native,other_single_race,pac_isl,persons_per_household,pop,poverty,poverty_65_and_over,poverty_under_18,two_plus_races,unemployment_rate,uninsured,uninsured_65_and_older,uninsured_under_19,uninsured_under_6,veterans,white,white_not_hispanic
Alabama,Baldwin County,1003,78.3,20,1.9,5.5,0.9,3.24,31.9,9.3,4.6,81.8,76.3,81.7,80930,0.6,1.2,0,1.8,4.6,24.8,11.5,75.2,90.8,25.968,43,58320,0.8,1.1,0,2.59,212830,10.4,7.4,13.4,1.7,4,8.9,0.3,3.8,2.2,11.8,86.2,83.1
Alabama,Barbour County,1005,79.1,18.6,1.6,5.3,0.5,3.01,11.6,47.6,4.4,60.5,51.9,64.2,9345,0.6,1.6,0,1.1,5.2,39.1,26.1,60.9,73.2,25.968,40.4,32525,0.3,3.6,0,2.41,25361,30.7,16.8,50.1,1.2,9.4,11.3,0.3,3.3,3.4,6.6,46.8,45.8
Alabama,Bibb County,1007,79.4,15.9,2,5.8,0.1,3.74,10.4,22.3,2.6,69.2,54.7,66.6,6891,0,0.6,0,0.5,1.9,25.6,29.7,74.4,79.1,25.968,40.9,47542,0.1,0,0,2.99,22493,17.72820512820513,10.392307692307693,25.594871794871796,0.6,7,10.7,0,2,4.5,8,76.8,74.5
Alabama,Bullock County,1011,79.2,16,1.7,5.3,0.5,3.3,12.1,74.8,2.6,60.1,52.5,70.6,3521,0.4,1.4,0,1.6,3.6,28.9,39.3,71.1,74.7,27.2,40.2,37785,0,2,0,2.79,10248,17.72820512820513,10.392307692307693,25.594871794871796,0.8,4.1,11.4,0,1,2.1,3.3,21.9,21.4
Alabama,Butler County,1013,77.5,19.7,2.6,5.8,0.3,3.78,16.1,45.4,1.4,64.6,60.5,57.1,6506,0.2,0.3,0,0.6,1.4,30,24.9,70,85,23.7,40.8,40688,0.1,0.2,0,3,19828,17.72820512820513,10.392307692307693,25.594871794871796,2.1,7,8.7,0,2.3,0.5,6.6,51.8,51.6
Alabama,Calhoun County,1015,78.2,17.2,1.8,5.8,0.9,3.03,18.5,20.8,3.8,75.1,67.8,74.9,44605,0.8,0.9,0.1,0.8,3.1,29.9,13.8,70.1,84.4,25.968,39.6,47255,0.3,1.9,0,2.5,114618,17.9,9.7,25.6,2.4,7.2,9.5,0.2,2.4,1,10.8,73.7,72.1
Alabama,Chambers County,1017,79,19.2,1.9,6.1,1.1,3.1,13.3,39.6,2.4,69.4,58.6,68.7,13448,1,0.9,0,0.5,1.4,32.5,13.4,67.5,81.6,23.7,42,42289,0.3,0.3,0,2.46,33660,17.3,11.4,25.5,1,4,10.3,0.4,5.4,8.1,7.9,57.7,55.5
Alabama,Cherokee County,1019,79.8,22.4,2,4.6,0.2,2.94,12.8,4.6,1.6,70.7,57.3,71.4,10737,0.5,1.1,0.1,0.1,2,22.7,24.6,77.3,81.6,25.968,46.5,41919,1.1,0.4,0,2.39,25903,17.72820512820513,10.392307692307693,25.594871794871796,0.9,4.4,8.6,0.2,0.8,0.6,9.1,92.9,91.7
Alabama,Chilton County,1021,75.9,16,1.4,6.3,0.4,3.06,12.7,9.2,7.8,68.7,58.7,69.1,16927,0.3,1.5,0,0.8,6.1,25.5,33.4,74.5,81.8,32.1,38.7,47468,0.8,3.5,0,2.58,44055,19.1,11.6,22.7,2.5,6.5,13,0.5,4.8,1.2,7.6,83.6,80.1
Alabama,Choctaw County,1023,79.9,22.6,2.3,5.3,0.1,3.07,11.9,42.6,0.4,61.3,59.1,63.7,5300,0,0,0,0.7,1.5,19.1,29.1,80.9,81.4,34.5,46.3,35892,0.1,0.1,0,2.4,12925,17.72820512820513,10.392307692307693,25.594871794871796,0.4,8.7,10.3,0,1.5,1.7,8.6,56.8,56.4
Alabama,Clarke County,1025,78.1,19.4,2.4,5.7,0.4,3.46,12.2,45.8,0.3,57.5,52.5,56.8,9090,0.4,0.1,0,0.2,0.6,29.9,26.2,70.1,80.6,26.6,42.5,37404,0.1,0,0,2.61,24128,17.72820512820513,10.392307692307693,25.594871794871796,0.7,11.6,9.7,1.9,1.4,2.9,6.2,53,52.7
Alabama,Clay County,1027,79.2,20.2,2.1,5.1,0.2,3.04,10.6,15.6,3.1,70.1,60.6,70.1,5198,0,0.1,0,0.5,1.7,24.5,22,75.5,76.7,25.968,43.3,40845,0.3,0.1,0,2.52,13337,17.72820512820513,10.392307692307693,25.594871794871796,0.7,5.6,10.3,0,0.6,1.8,6,83.2,80.4
Alabama,Cleburne County,1029,77.3,19.4,3,5.7,0,3.21,15.4,2.7,2.5,64.3,60.5,69.2,5680,0,0.2,0.1,0.6,2.7,23.9,26.9,76.1,79,25.968,43.1,44741,0.1,1.3,0,2.6,14916,17.72820512820513,10.392307692307693,25.594871794871796,2,5.4,12.3,0.9,5.3,6.5,6.1,93.9,92.7
Alabama,Coffee County,1031,76.3,16.5,1.7,6.2,1.4,3.12,22.8,16.9,7.3,80,69.7,76.4,19924,1.5,1.2,0.2,1.4,5.2,34.3,12.6,65.7,85.9,25.968,39.3,55637,1.2,1.3,0,2.56,51662,15.1,8.3,24.3,3.3,5.6,9.8,0.1,3.7,5.4,16.4,75.7,70.1
Alabama,Colbert County,1033,78.9,19.4,2.2,5.7,0.5,3.06,18.1,16.2,2.8,70.1,62.9,71.7,21880,0.5,0.6,0.1,0.8,2.1,27.8,8.3,72.2,85.2,23.4,42.4,48065,0.6,1.6,0.1,2.48,54771,15.5,10.4,21.1,2,4.1,7.2,0.1,2.3,0.9,8.9,79,78.2
Alabama,Conecuh County,1035,79,22.2,2.5,5.6,0.5,3.41,12.8,47.8,0.7,52.7,43.4,51.4,4553,0.3,0,0,0.2,0.4,23.9,27.4,76.1,84.3,25.968,44.8,37837,0.2,0,0,2.71,12394,17.72820512820513,10.392307692307693,25.594871794871796,0.8,9.7,12.7,0,5.4,5.9,5.9,50.7,50
Alabama,Coosa County,1037,83.3,22.6,2.3,3.4,0,3.26,12.8,33.6,1,69.5,55.3,67.8,4032,0,0.2,0,0,0.5,20.8,31,79.2,80,25.968,48.4,38990,0.1,0.5,0,2.57,10757,17.72820512820513,10.392307692307693,25.594871794871796,0,2.3,8,1.1,5,5.4,10.4,65.8,64.8
Alabama,Covington County,1039,78.1,20.8,2.2,5.8,0.5,3,15.3,13.5,1.7,70.7,57.2,67.6,14852,0.6,0.1,0.1,0.1,1.3,25.5,20.4,74.5,83.4,25.968,43.3,42189,0.1,0.2,0.1,2.46,37200,18.6,12.2,28.7,1.1,7.8,11.1,0.1,6,5.9,10,84.6,83.3
Alabama,Crenshaw County,1041,77.6,18.8,1.9,5.7,1.3,3.45,17.4,23.3,0.8,65.1,57.9,63.9,4943,1.4,1.1,0,0.3,1.1,24.5,25.9,75.5,79.2,29.9,41.7,43163,0.7,0.2,0.1,2.77,13844,17.72820512820513,10.392307692307693,25.594871794871796,3.1,3.4,8.7,0,3.1,2.4,6.6,71.4,71
Alabama,Cullman County,1043,77.4,18.2,1.5,6.2,0.4,3.18,13.9,1.3,4.4,74.1,62.3,71.5,31034,0.4,0.6,0.1,0.5,3,25.2,19.8,74.8,81.6,25.968,40.8,44918,0.3,0.9,0,2.63,82853,14.9,9.7,19.5,2,4.3,11.1,0.4,2.5,1.4,8,95.1,91.9
Alabama,Dale County,1045,76.9,16.4,1.6,6.6,1.4,3.14,18.1,20.3,6.5,77,67.6,76.1,18806,1.4,1.5,0.1,1.6,4.8,39.9,16.4,60.1,86.1,25.968,37.3,47214,0.8,1.9,0,2.55,49277,17.6,8.5,27.7,3.3,7,11.6,0.1,3.8,4.5,16.4,72.4,68.6
Alabama,DeKalb County,1049,75.4,16.7,1.4,6,0.1,3.26,13,1.5,14.6,72,60.5,71.7,26040,0.4,2.2,0,0.2,9.1,28.5,23.1,71.5,74.8,24,39.5,40440,1.2,8.6,0.8,2.7,71310,21.1,11.9,31.3,2.4,3.7,13.7,1.3,2.7,1.3,6.3,85.4,80.4
Alabama,Elmore County,1051,77.5,14.9,1.4,5.8,0.5,3.09,25.1,21.5,3,81.5,71.5,79.4,29708,0.8,1.2,0.2,1,2.2,26.7,15.2,73.3,86.6,25.968,38.7,60891,0.3,0.7,0,2.58,81144,11.5,6.3,15.2,1.7,4,7.4,0,3.1,2.3,10.6,75.3,73.2
Alabama,Escambia County,1053,77.6,17.7,1.8,5.7,0.3,3.47,12.5,32.1,2.3,61,46.3,59.7,13089,0.2,0.3,0.1,0.1,1.1,31.7,16.3,68.3,81.1,25.968,40,36275,4,0.3,0.1,2.61,37057,22.2,10.3,31.1,1,11.5,14.2,0.1,7.2,7.3,7.4,62.2,60.2
Alabama,Etowah County,1055,78.4,18.7,1.9,5.8,0.7,3.23,17.8,15.9,3.9,76.5,63.4,73.1,38942,0.6,0.8,0.2,0.8,2.3,27.4,10.6,72.6,84.6,25.968,41.4,44637,0.6,1.1,0,2.6,102748,17.4,10.7,28.9,1.8,5.4,10.6,0.3,4,3.9,8.4,79.8,77.9
Alabama,Fayette County,1057,78.9,20.8,2.3,5.3,0.5,2.85,12.4,11.8,1.8,70.3,55.9,68,6802,0.6,0.1,0,0.5,0.7,22.7,20.6,77.3,82.6,29.8,43.7,39856,0,0,0,2.38,16494,17.72820512820513,10.392307692307693,25.594871794871796,2.4,6.6,7.6,0,2.4,2.6,8.4,85.3,84.5
Alabama,Franklin County,1059,74.9,16.9,2,7.1,0.4,3.44,14,4.4,17.2,61.9,53,63.4,11048,0.2,3.9,0.6,0.3,10.3,29.2,13.6,70.8,77.2,25.968,38.6,43514,1.3,9.6,0,2.83,31466,19.4,13.1,36,1.3,3.9,11.7,0.4,9.5,21.9,5.6,83,76.8
Alabama,Geneva County,1061,78,20,2.2,5.5,0.4,3.11,12.5,9.6,4,67.1,60.8,67.3,10383,0.4,0.3,0.1,0.1,3,28,25.5,72,80.3,27.8,43.2,41732,0.9,0.8,0,2.52,26417,22,9.8,32.8,1.6,5.2,12.6,0,1.7,0.5,11.6,86.6,83.9
Alabama,Greene County,1063,77.4,21.3,1.9,6.9,0,4.34,10.1,79.5,1.7,51.3,42,51,2951,0,0.2,0.3,0,0.4,32.9,31.3,67.1,79.2,25.968,40.9,24145,0.4,0.1,0,2.8,8324,17.72820512820513,10.392307692307693,25.594871794871796,2.7,12.3,12.8,0,2.2,5.5,7.1,17.3,17.2
Alabama,Hale County,1065,76.7,18.8,2.1,6.6,0.2,3.36,14.2,59.4,0,61.5,50.8,64.2,5650,0.1,0,0,0.5,0.9,24.2,35.4,75.8,84,25.968,40.5,34046,0.2,0.2,0,2.59,14809,17.72820512820513,10.392307692307693,25.594871794871796,0.4,10.7,9.5,0,2.8,0,7.1,39.5,39.5
Alabama,Henry County,1067,79,22.1,2.5,5.2,0.4,3.13,17.1,26.6,2.6,75.1,59.9,74.4,6630,0.3,0.2,0.2,0.4,1.4,16.7,23.4,83.3,79.4,25.968,44.4,50017,0.2,0.8,0.1,2.53,17133,17.72820512820513,10.392307692307693,25.594871794871796,1.2,5.2,9.8,0,1.1,1.4,9.2,70.7,69.2
Alabama,Houston County,1069,76.7,17.2,1.8,6.1,0.9,3.3,21.7,26.9,3.3,74.9,65.9,69.6,39311,0.8,0.5,0.2,1,2.3,34.3,11.8,65.7,86,25.968,40.1,47580,0.3,0.6,0.1,2.64,104702,18.2,10,27.5,2.2,6.2,10.5,0.5,2.2,1.6,9.8,69.1,66.5
Alabama,Jackson County,1071,78.8,19.5,1.8,5.3,0.4,3.02,14,3.5,2.9,70.9,60.6,69,20695,0.3,0.4,0.1,0.1,1.4,24.5,19.8,75.5,83.2,25.968,43.1,41769,1.2,0.5,0.1,2.47,51852,18.6,11.1,24.2,2.7,5,9.5,0.2,1.4,0.5,6.8,91.5,89.2
Alabama,Jefferson County,1073,77.1,15.4,1.9,6.4,1.6,3.15,33.4,42.9,3.9,79.4,71.1,79.3,261231,1,1.4,0.5,1.4,3.2,37.3,2.7,62.7,90.1,25.968,37.7,53901,0.2,1.8,0,2.47,659680,16,10.4,22.8,1.7,6,9.2,0.4,3.6,3.8,7.2,51.8,49.9
